"","V1"
"754","553 fBodyBodyGyroJerkMag-skewness()"
"755","554 fBodyBodyGyroJerkMag-kurtosis()"
"756","555 angle(tBodyAccMean"
"757","gravity)"
"758","556 angle(tBodyAccJerkMean)"
"759","gravityMean)"
"760","557 angle(tBodyGyroMean"
"761","gravityMean)"
"762","558 angle(tBodyGyroJerkMean"
"763","gravityMean)"
"764","559 angle(X"
"765","gravityMean)"
"766","560 angle(Y"
"767","gravityMean)"
"768","561 angle(Z"
"769","gravityMean)"
